ID,Słowo (Angielski),Tłumaczenie (Polski),Wymowa UK (IPA),Wymowa US (IPA)
1001,living room,salon,/ˈlɪvɪŋ ruːm/,/ˈlɪvɪŋ ruːm/
1002,bicycle,rower,/ˈbaɪsəkəl/,/ˈbaɪsɪkəl/
1003,motorcycle,motocykl,/ˈməʊtəˌsaɪkəl/,/ˈmoʊtərˌsaɪkəl/
1007,vegetable,warzywo,/ˈvɛdʒtəbəl/,/ˈvɛdʒətəbəl/
1008,banana,banan,/bəˈnɑːnə/,/bəˈnænə/
1009,orange,pomarańcza,/ˈɒrɪndʒ/,/ˈɔːrəndʒ/
1010,potato,ziemniak,/pəˈteɪtəʊ/,/pəˈteɪtoʊ/
1011,tomato,pomidor,/təˈmɑːtəʊ/,/təˈmeɪtoʊ/
1012,cheese,ser,/tʃiːz/,/tʃiːz/
1013,coffee,kawa,/ˈkɒfi/,/ˈkɔːfi/
1014,tea,herbata,/tiː/,/tiː/
1015,beer,piwo,/bɪə(r)/,/bɪr/
1016,wine,wino,/waɪn/,/waɪn/
1017,euro,euro,/ˈjʊərəʊ/,/ˈjʊroʊ/
1018,university,uniwersytet,/ˌjuːnɪˈvɜːsəti/,/ˌjuːnɪˈvɜːrsəti/
1019,teacher,nauczyciel,/ˈtiːtʃə(r)/,/ˈtiːtʃər/
1020,nurse,pielęgniarka,/nɜːs/,/nɜːrs/
1021,police,policja,/pəˈliːs/,/pəˈliːs/
1022,firefighter,strażak,/ˈfaɪəˌfaɪtə(r)/,/ˈfaɪərˌfaɪtər/
1023,writer,pisarz,/ˈraɪtə(r)/,/ˈraɪtər/
1024,musician,muzyk,/mjuːˈzɪʃən/,/mjuːˈzɪʃən/
1025,actor,aktor,/ˈæktə(r)/,/ˈæktər/
1026,queen,królowa,/kwiːn/,/kwiːn/
1027,tooth,ząb,/tuːθ/,/tuːθ/
1028,tongue,język,/tʌŋ/,/tʌŋ/
1029,brain,mózg,/breɪn/,/breɪn/
1030,news,wiadomości,/njuːz/,/nuːz/
1031,movie,film,/ˈmuːvi/,/ˈmuːvi/
1032,sport,sport,/spɔːt/,/spɔːrt/
1033,peace,pokój,/piːs/,/piːs/
1034,religion,religia,/rɪˈlɪdʒən/,/rɪˈlɪdʒən/
1035,god,bóg,/ɡɒd/,/ɡɑːd/
1036,afternoon,popołudnie,/ˌɑːftəˈnuːn/,/ˌæftərˈnuːn/
1037,today,dzisiaj,/təˈdeɪ/,/təˈdeɪ/
1038,yesterday,wczoraj,/ˈjɛstədeɪ/,/ˈjɛstərdeɪ/
1039,tomorrow,jutro,/təˈmɒrəʊ/,/təˈmɑːroʊ/
1040,sometimes,czasami,/ˈsʌmtaɪmz/,/ˈsʌmtaɪmz/
1041,usually,zwykle,/ˈjuːʒʊəli/,/ˈjuːʒuəli/
1042,down,w dół,/daʊn/,/daʊn/
1043,easy,łatwy,/ˈiːzi/,/ˈiːzi/
1044,ugly,brzydki,/ˈʌɡli/,/ˈʌɡli/
1045,sad,smutny,/sæd/,/sæd/
1046,weak,słaby,/wiːk/,/wiːk/
1047,find,znaleźć,/faɪnd/,/faɪnd/
1048,call,dzwonić,/kɔːl/,/kɔːl/
1050,below,pod,/bɪˈləʊ/,/bɪˈloʊ/
1051,really,naprawdę,/ˈrɪəli/,/ˈriːəli/
1052,ability,zdolność,/əˈbɪləti/,/əˈbɪləti/
1053,abroad,za granicą,/əˈbrɔːd/,/əˈbrɔːd/
